obs_month,neighborhood,signal_type,metric,value,is_imputed,source_id
2015-04-01,east_village,observation,observed_total_units,424.0,false,A
2015-04-01,gaslamp,observation,observed_individuals,19.0,false,A
2015-04-01,gaslamp,observation,observed_total_units,19.0,false,A
2015-04-01,marina,observation,observed_individuals,14.0,false,A
2015-04-01,marina,observation,observed_total_units,14.0,false,A
2015-05-01,core,observation,observed_individuals,158.0,false,A
2015-05-01,core,observation,observed_total_units,158.0,false,A
2015-05-01,cortez,observation,observed_individuals,43.0,false,A
2015-05-01,cortez,observation,observed_total_units,43.0,false,A
2015-05-01,east_village,observation,observed_individuals,386.0,false,A
2015-05-01,east_village,observation,observed_total_units,386.0,false,A
2015-05-01,gaslamp,observation,observed_individuals,22.0,false,A
2015-05-01,gaslamp,observation,observed_total_units,22.0,false,A
2015-05-01,marina,observation,observed_individuals,16.0,false,A
2015-05-01,marina,observation,observed_total_units,16.0,false,A
2015-06-01,columbia,observation,observed_individuals,27.0,true,A
2015-06-01,columbia,observation,observed_total_units,27.0,true,A
2015-06-01,core,observation,observed_individuals,161.0,true,A
2015-06-01,core,observation,observed_structures,2.0,true,A
2015-06-01,core,observation,observed_total_units,163.0,true,A
2015-06-01,cortez,observation,observed_individuals,42.0,true,A
2015-06-01,cortez,observation,observed_structures,2.0,true,A
2015-06-01,cortez,observation,observed_total_units,45.0,true,A
2015-06-01,cortez,observation,observed_vehicles,1.0,true,A
2015-06-01,east_village,observation,observed_individuals,406.0,true,A
2015-06-01,east_village,observation,observed_structures,27.0,true,A
2015-06-01,east_village,observation,observed_total_units,435.0,true,A
2015-06-01,east_village,observation,observed_vehicles,2.0,true,A
2015-06-01,gaslamp,observation,observed_individuals,21.0,true,A
2015-06-01,gaslamp,observation,observed_total_units,21.0,true,A
2015-06-01,marina,observation,observed_individuals,28.0,true,A
2015-06-01,marina,observation,observed_structures,1.0,true,A
2015-06-01,marina,observation,observed_total_units,29.0,true,A
2015-07-01,core,observation,observed_individuals,235.0,false,A
2015-07-01,core,observation,observed_total_units,235.0,false,A
2015-07-01,cortez,observation,observed_individuals,39.0,false,A
2015-07-01,cortez,observation,observed_total_units,39.0,false,A
2015-07-01,east_village,observation,observed_individuals,466.0,false,A
2015-07-01,east_village,observation,observed_total_units,466.0,false,A
2015-07-01,gaslamp,observation,observed_individuals,25.0,false,A
2015-07-01,gaslamp,observation,observed_total_units,25.0,false,A
2015-07-01,marina,observation,observed_individuals,29.0,false,A
2015-07-01,marina,observation,observed_total_units,29.0,false,A
2015-08-01,core,observation,observed_individuals,152.0,false,A
2015-08-01,core,observation,observed_total_units,152.0,false,A
2015-08-01,cortez,observation,observed_individuals,45.0,false,A
2015-08-01,cortez,observation,observed_total_units,45.0,false,A
2015-08-01,east_village,observation,observed_individuals,427.0,false,A
2015-08-01,east_village,observation,observed_total_units,427.0,false,A
2015-08-01,gaslamp,observation,observed_individuals,24.0,false,A
2015-08-01,gaslamp,observation,observed_total_units,24.0,false,A
2015-08-01,marina,observation,observed_individuals,31.0,false,A
2015-08-01,marina,observation,observed_total_units,31.0,false,A
2015-09-01,columbia,observation,observed_individuals,41.0,false,A
2015-09-01,columbia,observation,observed_total_units,41.0,false,A
2015-09-01,core,observation,observed_individuals,77.0,false,A
2015-09-01,core,observation,observed_total_units,77.0,false,A
2015-09-01,cortez,observation,observed_individuals,52.0,false,A
2015-09-01,cortez,observation,observed_total_units,52.0,false,A
2015-09-01,east_village,observation,observed_individuals,354.0,false,A
2015-09-01,east_village,observation,observed_total_units,354.0,false,A
2015-09-01,gaslamp,observation,observed_individuals,19.0,false,A
2015-09-01,gaslamp,observation,observed_total_units,19.0,false,A
2015-09-01,marina,observation,observed_individuals,26.0,false,A
2015-09-01,marina,observation,observed_total_units,26.0,false,A
2015-10-01,core,observation,observed_individuals,98.0,false,A
2015-10-01,core,observation,observed_total_units,98.0,false,A
2015-10-01,cortez,observation,observed_individuals,32.0,false,A
2015-10-01,cortez,observation,observed_total_units,32.0,false,A
2015-10-01,east_village,observation,observed_individuals,458.0,false,A
2015-10-01,east_village,observation,observed_total_units,458.0,false,A
2015-10-01,gaslamp,observation,observed_individuals,54.0,false,A
2015-10-01,gaslamp,observation,observed_total_units,54.0,false,A
