obs_month,neighborhood,value,lo80,hi80,horizon,kind
2026-11-01,city_center,175.7453710939758,108.17189564425173,217.93804938330737,11,forecast
2026-11-01,columbia,37.12267974253529,22.547576882895495,46.22333087669579,11,forecast
2026-11-01,cortez,60.09391027702298,36.736422492876024,74.67825659286027,11,forecast
2026-11-01,east_village,526.5425303859791,324.8519174716062,652.4775527899363,11,forecast
2026-11-01,gaslamp,45.97312386068399,28.014309933336012,57.18655418155488,11,forecast
2026-11-01,marina,20.402942954434423,12.220147380601063,25.5122563182408,11,forecast
2026-12-01,city_center,182.2342362775551,108.09135789002475,241.30030455079762,12,forecast
2026-12-01,columbia,37.98830055307517,22.212292285360274,50.556288223443346,12,forecast
2026-12-01,cortez,62.22909577552907,36.644427463121524,82.61117154806996,12,forecast
2026-12-01,east_village,537.8402245669325,319.8069243933811,711.5368772188386,12,forecast
2026-12-01,gaslamp,45.74500277341164,26.83036582421196,60.81338508742932,12,forecast
2026-12-01,marina,19.938193454865928,11.465879751289405,26.68767864523242,12,forecast
