obs_date,neighborhood,signal_type,metric,value,source_id
2021-01-29,columbia,activity_proxy,paid_sessions,301.0,J
2021-01-29,columbia,activity_proxy,parking_meters_reporting,76.0,J
2021-01-29,columbia,activity_proxy,parking_revenue_usd,431.65000000000003,J
2021-01-29,cortez,activity_proxy,paid_sessions,629.0,J
2021-01-29,cortez,activity_proxy,parking_meters_reporting,226.0,J
2021-01-29,cortez,activity_proxy,parking_revenue_usd,769.0999999999999,J
2021-01-29,east_village,activity_proxy,paid_sessions,1815.0,J
2021-01-29,east_village,activity_proxy,parking_meters_reporting,524.0,J
2021-01-29,east_village,activity_proxy,parking_revenue_usd,2702.4300000000003,J
2021-01-29,gaslamp,activity_proxy,paid_sessions,520.0,J
2021-01-29,gaslamp,activity_proxy,parking_meters_reporting,132.0,J
2021-01-29,gaslamp,activity_proxy,parking_revenue_usd,687.75,J
2021-01-29,marina,activity_proxy,paid_sessions,783.0,J
2021-01-29,marina,activity_proxy,parking_meters_reporting,145.0,J
2021-01-29,marina,activity_proxy,parking_revenue_usd,1448.3799999999999,J
2021-01-30,city_center,activity_proxy,paid_sessions,782.0,J
2021-01-30,city_center,activity_proxy,parking_meters_reporting,207.0,J
2021-01-30,city_center,activity_proxy,parking_revenue_usd,1053.65,J
2021-01-30,columbia,activity_proxy,paid_sessions,438.0,J
2021-01-30,columbia,activity_proxy,parking_meters_reporting,93.0,J
2021-01-30,columbia,activity_proxy,parking_revenue_usd,689.68,J
2021-01-30,cortez,activity_proxy,paid_sessions,704.0,J
2021-01-30,cortez,activity_proxy,parking_meters_reporting,221.0,J
2021-01-30,cortez,activity_proxy,parking_revenue_usd,750.9599999999999,J
2021-01-30,east_village,activity_proxy,paid_sessions,1853.0,J
2021-01-30,east_village,activity_proxy,parking_meters_reporting,519.0,J
2021-01-30,east_village,activity_proxy,parking_revenue_usd,2885.8599999999997,J
2021-01-30,gaslamp,activity_proxy,paid_sessions,554.0,J
2021-01-30,gaslamp,activity_proxy,parking_meters_reporting,113.0,J
2021-01-30,gaslamp,activity_proxy,parking_revenue_usd,741.97,J
2021-01-30,marina,activity_proxy,paid_sessions,857.0,J
2021-01-30,marina,activity_proxy,parking_meters_reporting,154.0,J
2021-01-30,marina,activity_proxy,parking_revenue_usd,1564.46,J
2021-01-31,city_center,activity_proxy,paid_sessions,12.0,J
2021-01-31,city_center,activity_proxy,parking_meters_reporting,10.0,J
2021-01-31,city_center,activity_proxy,parking_revenue_usd,4.2,J
2021-01-31,columbia,activity_proxy,paid_sessions,2.0,J
2021-01-31,columbia,activity_proxy,parking_meters_reporting,2.0,J
2021-01-31,columbia,activity_proxy,parking_revenue_usd,0.5,J
2021-01-31,cortez,activity_proxy,paid_sessions,15.0,J
2021-01-31,cortez,activity_proxy,parking_meters_reporting,12.0,J
2021-01-31,cortez,activity_proxy,parking_revenue_usd,7.8500000000000005,J
2021-01-31,east_village,activity_proxy,paid_sessions,37.0,J
2021-01-31,east_village,activity_proxy,parking_meters_reporting,21.0,J
2021-01-31,east_village,activity_proxy,parking_revenue_usd,14.8,J
2021-01-31,gaslamp,activity_proxy,paid_sessions,13.0,J
2021-01-31,gaslamp,activity_proxy,parking_meters_reporting,11.0,J
2021-01-31,gaslamp,activity_proxy,parking_revenue_usd,4.45,J
2021-01-31,marina,activity_proxy,paid_sessions,12.0,J
2021-01-31,marina,activity_proxy,parking_meters_reporting,10.0,J
2021-01-31,marina,activity_proxy,parking_revenue_usd,4.6,J
2021-02-01,city_center,activity_proxy,paid_sessions,824.0,J
2021-02-01,city_center,activity_proxy,parking_meters_reporting,218.0,J
2021-02-01,city_center,activity_proxy,parking_revenue_usd,884.3,J
2021-02-01,columbia,activity_proxy,paid_sessions,446.0,J
2021-02-01,columbia,activity_proxy,parking_meters_reporting,84.0,J
2021-02-01,columbia,activity_proxy,parking_revenue_usd,542.53,J
2021-02-01,cortez,activity_proxy,paid_sessions,680.0,J
2021-02-01,cortez,activity_proxy,parking_meters_reporting,233.0,J
2021-02-01,cortez,activity_proxy,parking_revenue_usd,739.46,J
2021-02-01,east_village,activity_proxy,paid_sessions,1888.0,J
2021-02-01,east_village,activity_proxy,parking_meters_reporting,540.0,J
2021-02-01,east_village,activity_proxy,parking_revenue_usd,2668.4299999999994,J
2021-02-01,gaslamp,activity_proxy,paid_sessions,649.0,J
2021-02-01,gaslamp,activity_proxy,parking_meters_reporting,170.0,J
2021-02-01,gaslamp,activity_proxy,parking_revenue_usd,809.4799999999999,J
2021-02-01,marina,activity_proxy,paid_sessions,858.0,J
2021-02-01,marina,activity_proxy,parking_meters_reporting,154.0,J
2021-02-01,marina,activity_proxy,parking_revenue_usd,1529.9300000000003,J
2021-02-02,city_center,activity_proxy,paid_sessions,732.0,J
2021-02-02,city_center,activity_proxy,parking_meters_reporting,204.0,J
2021-02-02,city_center,activity_proxy,parking_revenue_usd,851.2,J
2021-02-02,columbia,activity_proxy,paid_sessions,389.0,J
2021-02-02,columbia,activity_proxy,parking_meters_reporting,86.0,J
2021-02-02,columbia,activity_proxy,parking_revenue_usd,568.87,J
2021-02-02,cortez,activity_proxy,paid_sessions,704.0,J
2021-02-02,cortez,activity_proxy,parking_meters_reporting,222.0,J
2021-02-02,cortez,activity_proxy,parking_revenue_usd,719.71,J
2021-02-02,east_village,activity_proxy,paid_sessions,1820.0,J
2021-02-02,east_village,activity_proxy,parking_meters_reporting,537.0,J
2021-02-02,east_village,activity_proxy,parking_revenue_usd,2672.730000000001,J
2021-02-02,gaslamp,activity_proxy,paid_sessions,657.0,J
2021-02-02,gaslamp,activity_proxy,parking_meters_reporting,165.0,J
2021-02-02,gaslamp,activity_proxy,parking_revenue_usd,804.8500000000003,J
2021-02-02,marina,activity_proxy,paid_sessions,897.0,J
2021-02-02,marina,activity_proxy,parking_meters_reporting,155.0,J
2021-02-02,marina,activity_proxy,parking_revenue_usd,1703.6199999999997,J
2021-02-03,city_center,activity_proxy,paid_sessions,667.0,J
2021-02-03,city_center,activity_proxy,parking_meters_reporting,195.0,J
2021-02-03,city_center,activity_proxy,parking_revenue_usd,724.98,J
2021-02-03,columbia,activity_proxy,paid_sessions,386.0,J
2021-02-03,columbia,activity_proxy,parking_meters_reporting,87.0,J
2021-02-03,columbia,activity_proxy,parking_revenue_usd,526.97,J
2021-02-03,cortez,activity_proxy,paid_sessions,721.0,J
2021-02-03,cortez,activity_proxy,parking_meters_reporting,251.0,J
2021-02-03,cortez,activity_proxy,parking_revenue_usd,734.6399999999999,J
2021-02-03,east_village,activity_proxy,paid_sessions,1979.0,J
2021-02-03,east_village,activity_proxy,parking_meters_reporting,555.0,J
2021-02-03,east_village,activity_proxy,parking_revenue_usd,2804.1800000000003,J
2021-02-03,gaslamp,activity_proxy,paid_sessions,548.0,J
2021-02-03,gaslamp,activity_proxy,parking_meters_reporting,142.0,J
2021-02-03,gaslamp,activity_proxy,parking_revenue_usd,714.3,J
2021-02-03,marina,activity_proxy,paid_sessions,922.0,J
2021-02-03,marina,activity_proxy,parking_meters_reporting,164.0,J
2021-02-03,marina,activity_proxy,parking_revenue_usd,1646.1900000000003,J
2021-02-04,city_center,activity_proxy,paid_sessions,682.0,J
2021-02-04,city_center,activity_proxy,parking_meters_reporting,201.0,J
2021-02-04,city_center,activity_proxy,parking_revenue_usd,772.53,J
2021-02-04,columbia,activity_proxy,paid_sessions,473.0,J
2021-02-04,columbia,activity_proxy,parking_meters_reporting,89.0,J
2021-02-04,columbia,activity_proxy,parking_revenue_usd,626.3699999999999,J
2021-02-04,cortez,activity_proxy,paid_sessions,679.0,J
2021-02-04,cortez,activity_proxy,parking_meters_reporting,228.0,J
2021-02-04,cortez,activity_proxy,parking_revenue_usd,741.38,J
2021-02-04,east_village,activity_proxy,paid_sessions,1935.0,J
2021-02-04,east_village,activity_proxy,parking_meters_reporting,530.0,J
2021-02-04,east_village,activity_proxy,parking_revenue_usd,2703.3799999999997,J
2021-02-04,gaslamp,activity_proxy,paid_sessions,550.0,J
2021-02-04,gaslamp,activity_proxy,parking_meters_reporting,141.0,J
2021-02-04,gaslamp,activity_proxy,parking_revenue_usd,699.55,J
2021-02-04,marina,activity_proxy,paid_sessions,974.0,J
2021-02-04,marina,activity_proxy,parking_meters_reporting,158.0,J
2021-02-04,marina,activity_proxy,parking_revenue_usd,1783.93,J
2021-02-05,city_center,activity_proxy,paid_sessions,813.0,J
2021-02-05,city_center,activity_proxy,parking_meters_reporting,206.0,J
2021-02-05,city_center,activity_proxy,parking_revenue_usd,930.8000000000002,J
2021-02-05,columbia,activity_proxy,paid_sessions,498.0,J
2021-02-05,columbia,activity_proxy,parking_meters_reporting,93.0,J
2021-02-05,columbia,activity_proxy,parking_revenue_usd,652.1800000000001,J
2021-02-05,cortez,activity_proxy,paid_sessions,796.0,J
2021-02-05,cortez,activity_proxy,parking_meters_reporting,251.0,J
2021-02-05,cortez,activity_proxy,parking_revenue_usd,898.8200000000002,J
2021-02-05,east_village,activity_proxy,paid_sessions,1840.0,J
2021-02-05,east_village,activity_proxy,parking_meters_reporting,521.0,J
2021-02-05,east_village,activity_proxy,parking_revenue_usd,2676.14,J
2021-02-05,gaslamp,activity_proxy,paid_sessions,534.0,J
2021-02-05,gaslamp,activity_proxy,parking_meters_reporting,124.0,J
2021-02-05,gaslamp,activity_proxy,parking_revenue_usd,674.03,J
2021-02-05,marina,activity_proxy,paid_sessions,1020.0,J
2021-02-05,marina,activity_proxy,parking_meters_reporting,156.0,J
2021-02-05,marina,activity_proxy,parking_revenue_usd,1894.9299999999998,J
2021-02-06,city_center,activity_proxy,paid_sessions,894.0,J
2021-02-06,city_center,activity_proxy,parking_meters_reporting,213.0,J
2021-02-06,city_center,activity_proxy,parking_revenue_usd,1127.1899999999998,J
2021-02-06,columbia,activity_proxy,paid_sessions,530.0,J
2021-02-06,columbia,activity_proxy,parking_meters_reporting,85.0,J
2021-02-06,columbia,activity_proxy,parking_revenue_usd,822.45,J
2021-02-06,cortez,activity_proxy,paid_sessions,752.0,J
2021-02-06,cortez,activity_proxy,parking_meters_reporting,242.0,J
2021-02-06,cortez,activity_proxy,parking_revenue_usd,837.38,J
2021-02-06,east_village,activity_proxy,paid_sessions,1794.0,J
2021-02-06,east_village,activity_proxy,parking_meters_reporting,485.0,J
2021-02-06,east_village,activity_proxy,parking_revenue_usd,2736.88,J
2021-02-06,gaslamp,activity_proxy,paid_sessions,504.0,J
2021-02-06,gaslamp,activity_proxy,parking_meters_reporting,109.0,J
2021-02-06,gaslamp,activity_proxy,parking_revenue_usd,691.17,J
2021-02-06,marina,activity_proxy,paid_sessions,1006.0,J
2021-02-06,marina,activity_proxy,parking_meters_reporting,157.0,J
2021-02-06,marina,activity_proxy,parking_revenue_usd,2023.0600000000002,J
2021-02-07,city_center,activity_proxy,paid_sessions,17.0,J
2021-02-07,city_center,activity_proxy,parking_meters_reporting,11.0,J
2021-02-07,city_center,activity_proxy,parking_revenue_usd,7.2,J
2021-02-07,columbia,activity_proxy,paid_sessions,1.0,J
2021-02-07,columbia,activity_proxy,parking_meters_reporting,1.0,J
2021-02-07,columbia,activity_proxy,parking_revenue_usd,0.5,J
2021-02-07,cortez,activity_proxy,paid_sessions,18.0,J
2021-02-07,cortez,activity_proxy,parking_meters_reporting,10.0,J
